DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
Yuval Rosen,415,1682799238,40496,00:40.496,5320,26856,8320,00:05.320,00:26.856,00:08.320
Ido,127,1682789889,40497,00:40.497,5491,27202,7804,00:05.491,00:27.202,00:07.804
Yuval Rosen,376,1682797288,40497,00:40.497,5351,27073,8073,00:05.351,00:27.073,00:08.073
TAL S,79,1682790720,40500,00:40.500,5453,27320,7727,00:05.453,00:27.320,00:07.727
Ido,106,1682789031,40501,00:40.501,5401,27329,7771,00:05.401,00:27.329,00:07.771
Y.Cohen,50,1682678296,40501,00:40.501,5536,27247,7718,00:05.536,00:27.247,00:07.718
Ori Arish,34,1682546571,40501,00:40.501,5423,27252,7826,00:05.423,00:27.252,00:07.826
Y.Cohen,33,1682539731,40502,00:40.502,5470,27054,7978,00:05.470,00:27.054,00:07.978
Yuval Rosen,168,1682725517,40502,00:40.502,5479,26708,8315,00:05.479,00:26.708,00:08.315
yarimalk23,278,1682779733,40503,00:40.503,5416,27302,7785,00:05.416,00:27.302,00:07.785
Y.Cohen,209,1682686249,40504,00:40.504,5624,27073,7807,00:05.624,00:27.073,00:07.807
Yuval Rosen,275,1682774455,40504,00:40.504,5341,26559,8604,00:05.341,00:26.559,00:08.604
giladheskia,64,1682772996,40505,00:40.505,5541,27224,7740,00:05.541,00:27.224,00:07.740
Ido,139,1682790738,40505,00:40.505,5414,27383,7708,00:05.414,00:27.383,00:07.708
Hublot,86,1682792824,40505,00:40.505,5370,27152,7983,00:05.370,00:27.152,00:07.983
tomerventura,35,1682792985,40508,00:40.508,5633,27117,7758,00:05.633,00:27.117,00:07.758
yarimalk23,291,1682780428,40509,00:40.509,5399,27207,7903,00:05.399,00:27.207,00:07.903
ITZYuval,268,1682794377,40510,00:40.510,5536,27068,7906,00:05.536,00:27.068,00:07.906
giladheskia,77,1682773574,40511,00:40.511,5429,27279,7803,00:05.429,00:27.279,00:07.803
giladheskia,65,1682773037,40512,00:40.512,5488,27265,7759,00:05.488,00:27.265,00:07.759
U.V,170,1682684676,40512,00:40.512,5479,27108,7925,00:05.479,00:27.108,00:07.925
Reem Gross,112,1682764567,40512,00:40.512,5420,26645,8447,00:05.420,00:26.645,00:08.447
Ido,134,1682790523,40513,00:40.513,5422,27293,7798,00:05.422,00:27.293,00:07.798
U.V,128,1682681492,40513,00:40.513,5507,27347,7659,00:05.507,00:27.347,00:07.659
Y.Cohen,28,1682539526,40513,00:40.513,5624,27036,7853,00:05.624,00:27.036,00:07.853
tomerventura,159,1682800216,40513,00:40.513,5453,27360,7700,00:05.453,00:27.360,00:07.700
Y.Cohen,69,1682679081,40514,00:40.514,5455,27176,7883,00:05.455,00:27.176,00:07.883
Y.Cohen,77,1682679405,40515,00:40.515,5514,27009,7992,00:05.514,00:27.009,00:07.992
tomerventura,172,1682800980,40515,00:40.515,5558,27131,7826,00:05.558,00:27.131,00:07.826
Yarin,38,1682698857,40515,00:40.515,5414,27212,7889,00:05.414,00:27.212,00:07.889
yarimalk23,117,1682612653,40515,00:40.515,5514,27211,7790,00:05.514,00:27.211,00:07.790
Y.Cohen,74,1682679282,40518,00:40.518,5598,27018,7902,00:05.598,00:27.018,00:07.902
tomerventura,177,1682801234,40518,00:40.518,5625,27112,7781,00:05.625,00:27.112,00:07.781
Ido,48,1682779319,40519,00:40.519,5486,27126,7907,00:05.486,00:27.126,00:07.907
Player,148,1682672816,40519,00:40.519,5518,26892,8109,00:05.518,00:26.892,00:08.109
Hublot,84,1682792744,40519,00:40.519,5374,26959,8186,00:05.374,00:26.959,00:08.186
Yuval Rosen,113,1682611259,40519,00:40.519,5365,26595,8559,00:05.365,00:26.595,00:08.559
yarimalk23,249,1682726313,40521,00:40.521,5380,27518,7623,00:05.380,00:27.518,00:07.623
Daniel Lerman,116,1682751628,40521,00:40.521,5380,26968,8173,00:05.380,00:26.968,00:08.173
Yuval Rosen,208,1682727170,40524,00:40.524,5356,26572,8596,00:05.356,00:26.572,00:08.596
GasCan13,44,1682788026,40525,00:40.525,5421,27328,7776,00:05.421,00:27.328,00:07.776
Yuval Rosen,384,1682797660,40525,00:40.525,5330,26857,8338,00:05.330,00:26.857,00:08.338
U.V,116,1682680596,40526,00:40.526,5508,27198,7820,00:05.508,00:27.198,00:07.820
Ido,35,1682612213,40527,00:40.527,5467,27261,7799,00:05.467,00:27.261,00:07.799
Daniel Lerman,63,1682703415,40527,00:40.527,5426,27262,7839,00:05.426,00:27.262,00:07.839
giladheskia,33,1682694024,40528,00:40.528,5527,27221,7780,00:05.527,00:27.221,00:07.780
tomerventura,79,1682795604,40528,00:40.528,5486,27226,7816,00:05.486,00:27.226,00:07.816
ITZYuval,361,1682801878,40528,00:40.528,5513,27135,7880,00:05.513,00:27.135,00:07.880
Yuval Rosen,285,1682774864,40529,00:40.529,5357,26371,8801,00:05.357,00:26.371,00:08.801
Yuval Rosen,363,1682796732,40529,00:40.529,5344,26573,8612,00:05.344,00:26.573,00:08.612
ShimiC,66,1682694742,40531,00:40.531,5499,27193,7839,00:05.499,00:27.193,00:07.839
yarimalk23,272,1682779484,40532,00:40.532,5487,27306,7739,00:05.487,00:27.306,00:07.739
Daniel Lerman,26,1682700164,40532,00:40.532,5442,27324,7766,00:05.442,00:27.324,00:07.766
Ido,86,1682786186,40533,00:40.533,5414,27100,8019,00:05.414,00:27.100,00:08.019
Yuval Rosen,232,1682771789,40533,00:40.533,5477,26776,8280,00:05.477,00:26.776,00:08.280
Player,137,1682672486,40534,00:40.534,5461,27374,7699,00:05.461,00:27.374,00:07.699
Y.Cohen,109,1682681470,40534,00:40.534,5452,27112,7970,00:05.452,00:27.112,00:07.970
Yoni Goldberg,93,1682706512,40535,00:40.535,5588,27180,7767,00:05.588,00:27.180,00:07.767
ShimiC,181,1682786120,40536,00:40.536,5395,27189,7952,00:05.395,00:27.189,00:07.952
ITZYuval,297,1682795910,40536,00:40.536,5561,27154,7821,00:05.561,00:27.154,00:07.821
Y.Cohen,289,1682699904,40537,00:40.537,5428,27261,7848,00:05.428,00:27.261,00:07.848
